iter	Passed	Remaining
544	3508	2928
545	3514	2922
546	3523	2917
547	3535	2916
548	3541	2909
549	3548	2903
550	3555	2897
551	3561	2890
552	3566	2882
553	3571	2875
554	3577	2868
555	3582	2860
556	3587	2853
557	3594	2846
558	3599	2839
559	3603	2831
560	3609	2824
561	3614	2817
562	3621	2810
563	3626	2803
564	3632	2796
565	3637	2789
566	3644	2783
567	3647	2774
568	3654	2767
569	3657	2759
570	3663	2752
571	3668	2745
572	3674	2738
573	3679	2730
574	3684	2723
575	3690	2716
576	3695	2709
577	3702	2702
578	3708	2696
579	3713	2689
580	3720	2682
581	3726	2676
582	3731	2668
583	3738	2663
584	3743	2655
585	3751	2650
586	3757	2643
587	3762	2636
588	3770	2631
589	3777	2625
590	3787	2621
591	3794	2614
592	3800	2608
593	3807	2602
594	3814	2596
595	3822	2590
596	3827	2583
597	3833	2577
598	3839	2570
599	3843	2562
600	3848	2555
601	3854	2548
602	3859	2541
603	3865	2534
604	3871	2527
605	3876	2520
606	3883	2514
607	3889	2507
608	3895	2500
609	3900	2493
610	3907	2487
611	3913	2480
612	3919	2474
613	3924	2467
614	3930	2460
615	3936	2453
616	3940	2446
617	3945	2438
618	3951	2432
619	3956	2425
620	3961	2417
621	3967	2411
622	3973	2404
623	3978	2397
624	3984	2390
625	3989	2383
626	3996	2377
627	4001	2370
628	4008	2364
629	4017	2359
630	4022	2352
631	4032	2347
632	4038	2341
633	4043	2334
634	4048	2326
635	4053	2319
636	4058	2312
637	4064	2306
638	4069	2299
639	4076	2292
640	4084	2287
641	4090	2280
642	4097	2274
643	4103	2268
644	4107	2260
645	4113	2253
646	4117	2246
647	4121	2238
648	4127	2232
649	4132	2225
650	4137	2218
651	4144	2212
652	4150	2205
653	4155	2198
654	4162	2192
655	4167	2185
656	4174	2179
657	4181	2173
658	4189	2167
659	4199	2163
660	4206	2157
661	4214	2151
662	4221	2145
663	4232	2141
664	4241	2136
665	4248	2130
666	4259	2126
667	4265	2119
668	4283	2119
669	4298	2117
670	4308	2112
671	4314	2105
672	4319	2098
673	4326	2092
674	4331	2085
675	4335	2077
676	4342	2071
677	4347	2064
678	4352	2057
679	4358	2050
680	4363	2044
681	4369	2037
682	4375	2030
683	4379	2023
684	4385	2016
685	4390	2009
686	4395	2002
687	4400	1995
688	4409	1990
689	4413	1983
690	4421	1976
691	4426	1970
692	4432	1963
693	4439	1957
694	4445	1950
695	4450	1944
696	4457	1937
697	4462	1930
698	4468	1924
699	4473	1917
700	4479	1910
701	4487	1904
702	4493	1898
703	4501	1892
704	4514	1889
705	4525	1884
706	4531	1877
707	4540	1872
708	4545	1865
709	4554	1860
710	4559	1853
711	4563	1845
712	4568	1839
713	4575	1832
714	4579	1825
715	4586	1819
716	4592	1812
717	4599	1806
718	4605	1799
719	4609	1792
720	4615	1786
721	4623	1780
722	4628	1773
723	4634	1766
724	4640	1760
725	4645	1753
726	4653	1747
727	4658	1740
728	4662	1733
729	4669	1727
730	4674	1720
731	4680	1713
732	4685	1706
733	4691	1700
734	4697	1693
735	4705	1687
736	4709	1680
737	4716	1674
738	4722	1667
739	4727	1661
740	4733	1654
741	4748	1651
742	4754	1644
743	4762	1638
744	4767	1631
745	4772	1625
746	4778	1618
747	4785	1612
748	4789	1604
749	4795	1598
750	4800	1591
751	4805	1584
752	4808	1577
753	4813	1570
754	4819	1564
755	4824	1557
756	4830	1550
757	4834	1543
758	4840	1536
759	4846	1530
